,Symbol,Time,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4
195,EURJPY,15-12-2014 22:00,Sell,145.63,145.63,146.763,145.29,146.409,146.415,146.74,145.597,145.98,145.976,146.739,145.937,146.112,146.09,147.118,145.94899999999996,146.795
196,EURJPY,28-12-2014 00:00,Buy,146.631,146.622,146.739,144.763,145.231,145.231,145.577,144.744,144.77100000000004,144.951,145.32299999999995,144.124,144.58,143.985,144.161,142.299,142.746
197,EURJPY,29-12-2014 22:00,Sell,145.231,145.231,145.577,144.744,144.77100000000004,144.951,145.32299999999995,144.124,144.58,143.985,144.161,142.299,142.746,142.747,142.769,140.734,140.766
343,EURUSD,04-02-2015 00:00,Buy,1.09713,1.10004,1.10356,1.091,1.09217,1.09216,1.0954700000000002,1.0803200000000002,1.08141,1.08143,1.08873,1.07629,1.07805,1.078,1.07886,1.06377,1.06587
119,EURUSD,04-02-2015 00:00,Buy,1.09713,1.10004,1.10356,1.091,1.09217,1.09216,1.0954700000000002,1.0803200000000002,1.08141,1.08143,1.08873,1.07629,1.07805,1.078,1.07886,1.06377,1.06587
349,EURUSD,12-02-2015 00:00,Buy,1.0938700000000001,1.0938700000000001,1.09562,1.08361,1.08818,1.08703,1.08871,1.0796,1.08369,1.08369,1.09023,1.08301,1.0891600000000001,1.08915,1.10426,1.08791,1.10238
125,EURUSD,12-02-2015 00:00,Buy,1.0938700000000001,1.0938700000000001,1.09562,1.08361,1.08818,1.08703,1.08871,1.0796,1.08369,1.08369,1.09023,1.08301,1.0891600000000001,1.08915,1.10426,1.08791,1.10238
203,EURJPY,12-02-2015 00:00,Buy,134.097,134.093,134.591,133.326,133.929,133.907,134.118,133.298,133.681,133.681,134.003,133.482,133.88299999999998,133.88299999999998,134.22,133.52,133.872
117,EURUSD,22-03-2015 00:00,Buy,1.09456,1.09447,1.1029200000000001,1.08904,1.09235,1.09233,1.10144,1.09007,1.0969799999999998,1.09691,1.10522,1.08564,1.08837,1.08837,1.09485,1.0801100000000001,1.08874
341,EURUSD,22-03-2015 00:00,Buy,1.09456,1.09447,1.1029200000000001,1.08904,1.09235,1.09233,1.10144,1.09007,1.0969799999999998,1.09691,1.10522,1.08564,1.08837,1.08837,1.09485,1.0801100000000001,1.08874
