Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2010-08-31,11.2,11.2,11.2,11.2,699,,-481026,38.04092261984405,25.59048313794824,20.501872792814947,-0.027951313681134238,11.18774676630422,-11.215698079985355,64.6494101115384
2010-09-01,11.2,11.2,11.2,11.2,14500,,-481026,38.04092261984405,25.59048313794824,20.43506050371263,-0.025103540796379775,11.19019741304343,-11.21530095383981,66.32412214119967
2010-09-02,12.3,12.3,12.3,12.3,1,,-481025,61.96161884980069,15.710701201157454,23.22871356456975,0.06514710357364173,11.412157930438628,-11.347010826864986,73.91626040918456
2010-09-03,11.15,12.25,11.15,11.5,27,-19.63636363636366,-481052,43.1887891431385,41.248262708069674,21.733676383079594,0.07130674085442834,11.429726344351149,-11.35841960349672,63.06756730291754
2010-09-06,11.2,11.2,11.2,11.2,200,,-481252,39.80105251819898,38.012741336351496,20.345427571695883,0.05139211566795154,11.383781075480403,-11.332388959812452,60.95724371895349
2010-09-07,11.25,11.25,11.2,11.2,10000,-20000.0,-481252,40.636827082344055,37.484989878039826,19.18036245939046,0.03520383950139738,11.347024860383994,-11.311821020882597,62.705967876943966
2010-09-09,11.2,11.2,11.2,11.2,501,,-481252,40.636827082344055,37.48498987803982,18.09851628367828,0.02211954711176567,11.317619888306986,-11.29550034119522,64.42208157677128
2010-09-14,11.15,11.35,11.1,11.35,10200,20400.0,-471052,42.07956722671574,34.692002388933574,17.493107069329973,0.02358059519062472,11.324095910645628,-11.300515315455003,63.88539338619049
2010-09-16,11.3,11.3,11.3,11.3,1,,-471053,41.41493219847798,34.14405188689622,16.930941370292256,0.02046841063793714,11.319276728516481,-11.298808317878544,64.87502724017423
2010-09-17,11.2,11.2,11.2,11.2,100,,-471153,40.05237447872096,36.310722836962995,16.071575308088583,0.00982046526813285,11.2954213828131,-11.285600917544967,65.11460367731758
2010-09-21,11.05,11.25,11.05,11.05,4100,-8200.0,-475253,37.40199875814992,38.87089866109131,15.061166199056577,-0.010598488852716414,11.246337106250333,-11.25693559510305,64.64172362515822
2010-09-22,11.3,11.3,11.3,11.3,50,,-475203,35.978642085610375,35.69154244196951,14.013981791313563,-0.006534230062618107,11.257069685000292,-11.26360391506291,64.89308070728967
2010-09-24,11.4,11.4,11.25,11.25,5650,-11300.0,-480853,37.5191101357548,33.89990933613028,13.374951576998553,-0.0072637895256999485,11.255655748000231,-11.262919537525931,65.84692034514691
2010-10-01,11.3,11.3,11.25,11.25,5000,-10000.0,-480853,36.85499474623827,33.29985641878018,12.781566377991757,-0.00775260184288129,11.254524598400183,-11.262277200243064,67.49342632035992
2010-10-04,11.35,11.35,11.3,11.3,188,-376.0,-480665,37.33773883089967,32.07693498239345,12.409940676289034,-0.004058907104266041,11.263619678720158,-11.267678585824424,66.23765085728084
2010-10-06,12.3,12.3,11.3,11.3,2000,-4000.0,-480665,53.67970463657845,22.98606403829389,14.383205793991113,-0.0011187333844873137,11.270895742976133,-11.27201447636062,67.87451007663685
2010-10-07,11.3,11.35,11.3,11.35,303,606.0,-480362,52.87284132961532,22.640558939680393,16.215523403285903,0.005185927029275561,11.286716594380918,-11.281530667351642,66.64856086408956
2010-10-08,11.35,11.35,11.35,11.35,120,,-480362,52.872841329615305,22.640558939680393,17.916961183345347,0.010066372675726853,11.299373275504742,-11.289306902829015,68.27504003716189
2010-10-11,12.35,12.35,12.35,12.35,2,,-480360,65.05604008384611,16.7875765564598,20.849782151846888,0.09354322765482692,11.509498620403896,-11.41595539274907,73.57542603186366
2010-10-13,11.45,11.45,11.45,11.45,100,,-480460,52.02139382280511,33.460040830531504,20.911504834653908,0.08608789331219846,11.49759889632311,-11.411511003010911,62.99000961307337
2010-10-14,11.5,11.5,11.05,11.05,10000,-20000.0,-490460,46.95553475367562,38.85771882401762,20.091865648857453,0.047358370770115954,11.40807911705846,-11.360720746288344,60.295460420977655
